latitude,longitude,zipcode,severity
37.32471758,-121.829428,95122,1
37.33871672,-121.8717853,95112,1
37.32472109,-121.804784,95148,3
37.35954263,-121.8873458,95112,2
37.29403088,-121.9717401,95130,3
37.36541327,-121.9033837,95112,2
37.30359322,-121.9896606,95129,1
37.3419575,-121.8370417,95122,2
37.33283899,-121.8676618,95112,3
37.34985558,-121.8650794,95116,3
37.3125864,-121.8162569,95122,2
37.34564819,-121.8615372,95116,1
37.29264516,-121.8274326,95111,1
37.25717432,-121.7931136,95111,1
37.35113241,-121.8294639,95116,3
37.32775115,-121.8092126,95148,1
37.27297999,-121.744347,95138,3
37.31794204,-121.8868883,95110,3
37.34871072,-121.8595069,95116,3
37.30359322,-121.9896606,95129,3
37.26318326,-121.9279512,95124,2
37.32884926,-121.8309295,95122,2
37.34669023,-121.8869288,95112,1
37.3326025,-121.8764332,95112,1
37.33061977,-121.8721095,95112,1
37.34407275,-121.8864036,95112,1
37.24788902,-121.8126152,95123,1
37.35163938,-121.8000235,95127,2
37.30521438,-121.7571692,95135,2
37.34439185,-121.867961,95116,2
37.32877897,-121.9097464,95126,2
37.33283899,-121.8676618,95112,1
37.31084592,-121.9136475,95126,1
37.39423889,-121.8587344,95132,2
37.39853925,-121.8496451,95132,1
37.40295203,-121.8485014,95132,2
37.33009599,-121.8359734,95122,2
37.32802502,-121.9093871,95126,3
37.34750692,-121.9208318,95110,1
37.33283899,-121.8676618,95111,2
37.33941113,-121.8687032,95116,2
37.34327779,-121.8505139,95116,3
37.31441622,-121.8046541,95148,1
37.22686439,-121.7768437,95139,1
37.30785249,-121.8438767,95111,1
37.32132789,-121.9820832,95129,1
37.23687542,-121.8080087,95123,3
37.32159868,-121.9137385,95126,3
37.31967808,-121.9171536,95126,2
37.32159868,-121.9137385,95126,2
37.24767276,-121.9492629,95124,2
37.3111213,-121.9041991,95125,2
37.32081175,-121.851439,95122,3
37.28536618,-121.8138808,95111,1
37.29362288,-121.8260497,95111,1
37.29159376,-121.8289347,95111,2
37.29064619,-121.8216983,95111,1
37.29684423,-121.9544485,95117,2
37.27297999,-121.744347,95138,2
37.30521438,-121.7571692,95135,3
37.31797415,-121.8977136,95125,1
37.31770251,-121.8580021,95112,2
37.30093098,-121.9136105,95125,1
37.27156394,-121.8310773,95136,1
37.34338063,-121.8418884,95116,3
37.28051217,-121.8481236,95136,1
37.29008745,-121.8154592,95121,2
37.34828721,-121.906088,95110,3
37.28906888,-121.8338917,95111,3
37.33558355,-121.8648919,95112,2
37.33047845,-121.8420982,95122,2
37.32959387,-121.8563312,95122,2
37.30902313,-121.8454819,95111,2
37.30284154,-121.8590791,95112,3
37.29364434,-121.8449601,95111,3
37.34196161,-121.8183812,95127,3
37.32712864,-121.8270759,95148,1
37.359764,-121.837895,95116,3
37.30302812,-122.0295826,95129,2
37.30219168,-122.0309323,95129,1
37.30747865,-121.817629,95121,2
37.37909777,-121.8590706,95133,3
37.39888275,-121.8376783,95132,2
37.29757938,-121.821763,95121,1
37.34439185,-121.867961,95116,2
37.2633225,-121.7961064,95111,1
37.33417409,-121.7977179,95148,1
37.30051355,-121.7551844,95135,3
37.33672069,-121.9330216,95126,1
37.32957937,-121.88281,95112,2
37.28404672,-121.8257289,95111,2
37.29159376,-121.8289347,95111,1
37.32784089,-121.8394985,95122,3
37.3110425,-121.9109361,95126,3
37.29657477,-121.8271863,95111,2
37.31416187,-121.9067236,95110,1
37.32346187,-121.9280377,95128,1
37.34111619,-121.88851,95112,3
37.32738301,-121.8811714,95112,1
37.33328594,-121.8342851,95122,2
37.29413672,-121.8253112,95111,2
37.32208242,-121.7810721,95148,2
37.32886478,-121.7821903,95148,3
37.30051355,-121.7551844,95135,2
37.26385347,-121.878839,95118,2
37.30077873,-122.0271364,95129,1
37.34848696,-121.8073782,95127,2
37.38704572,-121.8716061,95131,1
37.33406511,-121.8452629,95122,2
37.34564423,-121.8706162,95116,1
37.35520662,-121.8359423,95116,1
37.22688008,-121.7822973,95119,3
37.31313137,-121.9487592,95128,1
37.34071823,-121.875802,95112,1
37.28052649,-121.8243687,95111,2
37.30354238,-121.9660473,95117,2
37.28203393,-121.8159704,95111,2
37.24620713,-121.8770629,95118,1
37.314107,-121.8800444,95110,2
37.34150496,-121.8214064,95122,2
37.33224686,-121.8392444,95122,1
37.35503636,-121.8313275,95116,2
37.30418537,-121.9054937,95125,3
37.24439895,-121.9090451,95124,1
37.25638404,-121.8175895,95123,3
37.34178766,-121.8172427,95148,1
37.34385889,-121.8423441,95116,2
37.34651296,-121.8408429,95116,1
37.38841507,-121.834146,95127,1
37.34882681,-121.8343691,95116,3
37.38462249,-121.8366127,95127,2
37.33790033,-121.8451596,95122,1
37.34741668,-121.9020484,95112,2
37.34234098,-121.8631772,95116,1
37.33882923,-121.875657,95112,3
37.29148105,-121.8184312,95121,1
37.29420012,-121.8174902,95121,2
37.31802037,-121.8038316,95148,1
37.31601753,-121.8071835,95148,1
37.34525855,-121.8672417,95116,1
37.28694559,-121.8337824,95111,3
37.22653925,-121.7932164,95119,2
37.36456304,-121.8621233,95133,1
37.37911218,-121.8778001,95133,1
37.35130314,-121.8135645,95127,1
37.26544521,-121.8776854,95118,3
37.26659844,-121.8784762,95118,2
37.32584937,-121.8305519,95122,2
37.25875659,-121.9049612,95124,1
37.31608842,-121.9501178,95117,2
37.35736174,-121.8276231,95127,1
37.38139449,-121.8770829,95133,1
37.3141348,-121.910923,95126,2
37.35788259,-121.8540099,95116,2
37.23203233,-121.7895661,95119,3
37.34703309,-121.8370526,95116,2
37.30736763,-121.9705723,95117,1
37.3581471,-121.9041067,95112,3
37.26369898,-121.8145727,95111,2
37.35575859,-121.8922603,95112,2
37.37452937,-121.8553524,95133,3
37.2426282,-121.8771676,95118,3
37.32380064,-121.8449217,95122,2
37.33550226,-121.9348631,95126,3
37.31327328,-121.7714646,95135,1
37.27286903,-121.8638549,95136,1
37.3470569,-121.8652417,95116,3
37.34404164,-121.8648462,95116,3
37.29148105,-121.8184312,95121,1
37.40900026,-121.854431,95132,1
37.29599103,-121.961923,95148,2
37.34952439,-121.8577941,95116,2
37.32868451,-121.87494,95112,2
37.34086721,-121.8554662,95116,1
37.29298027,-121.8186835,95121,1
37.26582088,-121.8633263,95136,2
37.28404672,-121.8257289,95111,1
37.28416092,-121.8313254,95111,2
37.36646095,-121.8123216,95127,1
37.32202485,-121.9005809,95126,3
37.22705828,-121.8296582,95123,1
37.36536847,-121.8472585,95116,3
37.35293431,-121.8798853,95112,3
37.29473046,-121.8763301,95125,1
37.25887639,-121.8156283,95123,2
37.29686591,-121.949917,95117,1
37.29686591,-121.949917,95117,1
37.42071872,-121.8601087,95132,2
37.27266511,-121.8611167,95136,1
